EmployeeID,Component,Y16_Mean_Component_Score,Y15_Mean_Component_Score,Y14_Mean_Component_Score
0897452,2a,4.00,4.00,4.00
0897452,2d,4.00,4.00,4.00
0897452,3b,3.50,4.00,3.50
0897452,3c,3.75,4.00,3.50
0897452,3d,4.00,3.50,3.50
0897452,4e,3.00,3.00,3.00
0903338,1a,4.00,4.00,3.50
0903338,1e,4.00,4.00,4.00
0903338,2a,3.33,4.00,3.66
0903338,2d,4.00,4.00,4.00
0903338,3b,3.33,3.67,2.00
0903338,3c,4.00,3.25,3.66
0903338,3d,4.00,4.00,3.00
0903338,4e,3.67,3.67,4.00
0909575,1a,3.75,3.67,3.00
0909575,1e,3.67,3.75,3.00
0909575,2a,3.50,4.00,3.16
0909575,2d,3.25,3.50,3.33
0909575,3b,3.00,3.00,2.60
0909575,3c,3.00,3.33,3.00
0909575,3d,3.00,3.00,2.80
0909575,4e,3.50,3.50,3.00
0911893,1a,4.00,3.33,3.00
0911893,1e,4.00,3.33,3.00
0911893,2a,4.00,3.67,4.00
0911893,2d,4.00,4.00,4.00
0911893,3b,3.00,3.67,3.00
0911893,3c,4.00,3.25,3.33
0911893,3d,4.00,3.00,2.00
0911893,4e,3.00,3.00,2.50
0912824,1a,3.75,4.00,3.00
0912824,1e,3.25,3.25,3.00
0912824,2a,3.75,4.00,3.00
0912824,2d,4.00,4.00,3.00
0912824,3b,3.00,3.25,3.00
0912824,3c,3.50,3.25,3.00
0912824,3d,3.00,4.00,3.00
0912824,4e,3.00,4.00,3.00
0914919,1a,3.25,3.50,3.00
0914919,1e,3.00,3.75,3.00
0914919,2a,4.00,4.00,3.00
0914919,2d,3.75,4.00,3.50
0914919,3b,2.75,3.00,3.00
0914919,3c,3.00,3.50,3.00
0914919,3d,3.00,4.00,3.00
0914919,4e,3.00,3.50,3.00
0919135,1a,3.67,3.25,4.00
0919135,1e,3.50,3.50,3.50
0919135,2a,3.75,3.50,3.66
0919135,2d,3.50,3.50,3.50
0919135,3b,3.00,3.00,3.00
0919135,3c,3.25,3.50,3.00
0919135,3d,3.25,3.00,3.25
0919135,4e,3.00,3.00,4.00
0930374,1a,3.67,3.80,4.00
0930374,1e,4.00,3.67,4.00
0930374,2a,3.50,4.00,3.75
0930374,2d,3.00,4.00,3.50
0930374,3b,3.00,3.00,3.00
0930374,3c,3.67,3.50,3.25
0930374,3d,4.00,3.50,2.50
0930374,4e,4.00,3.00,3.50
0933441,1a,2.60,2.67,3.50
0933441,1e,2.00,2.50,2.50
0933441,2a,3.00,3.00,3.00
0933441,2d,3.00,3.00,3.25
0933441,3b,2.00,2.67,2.25
0933441,3c,2.00,3.25,2.25
0933441,3d,2.00,2.00,1.75
0933441,4e,2.00,2.50,3.00
0933920,1a,4.00,4.00,4.00
0933920,1e,4.00,4.00,4.00
0933920,2a,4.00,4.00,4.00
0933920,2d,4.00,4.00,4.00
0933920,3b,3.75,4.00,4.00
0933920,3c,4.00,4.00,3.66
0933920,3d,4.00,4.00,3.50
0933920,4e,3.00,4.00,3.00
0944673,1a,3.67,4.00,3.50
0944673,1e,3.67,4.00,3.66
0944673,2a,4.00,4.00,4.00
0944673,2d,4.00,4.00,3.75
0944673,3b,3.00,3.25,3.00
0944673,3c,4.00,3.50,3.40
0944673,3d,3.67,4.00,3.75
0944673,4e,3.00,3.50,4.00
0946839,1a,4.00,4.00,4.00
0946839,1e,4.00,4.00,3.50
0946839,2a,4.00,4.00,4.00
0946839,2d,3.75,4.00,4.00
0946839,3b,4.00,3.75,4.00
0946839,3c,3.50,3.75,3.66
0946839,3d,3.67,4.00,4.00
0946839,4e,3.00,4.00,3.00
0947312,1a,3.00,4.00,3.50
0947312,1e,3.33,3.25,3.00
0947312,2a,3.67,3.25,3.25
0947312,2d,3.00,3.00,3.50
0947312,3b,3.00,3.50,2.50
0947312,3c,3.00,3.00,3.00
0947312,3d,3.67,3.00,3.00
0947312,4e,3.50,3.33,3.00
0951218,1a,4.00,4.00,4.00
0951218,1e,4.00,4.00,4.00
0951218,2a,4.00,4.00,3.80
0951218,2d,4.00,4.00,3.66
0951218,3b,3.50,3.50,3.75
0951218,3c,3.50,3.75,3.57
0951218,3d,3.50,4.00,3.33
0951218,4e,3.00,4.00,4.00
0955968,1a,3.33,3.80,4.00
0955968,1e,2.67,4.00,3.00
0955968,2a,4.00,3.50,3.25
0955968,2d,4.00,3.50,3.00
0955968,3b,3.00,4.00,2.50
0955968,3c,3.67,3.75,3.00
0955968,3d,3.00,3.00,2.66
0955968,4e,4.00,3.00,4.00
0959574,1a,3.00,2.33,3.00
0959574,1e,2.17,2.20,3.00
0959574,2a,3.00,3.00,3.00
0959574,2d,3.50,3.00,3.25
0959574,3b,3.00,2.33,2.33
0959574,3c,2.00,2.75,2.50
0959574,3d,2.67,2.33,2.66
0959574,4e,3.00,3.33,3.00
0962424,1a,4.00,4.00,4.00
0962424,1e,4.00,4.00,3.66
0962424,2a,4.00,4.00,4.00
0962424,2d,4.00,4.00,4.00
0962424,3b,3.67,4.00,3.75
0962424,3c,4.00,4.00,3.80
0962424,3d,4.00,4.00,3.75
0962424,4e,3.33,3.00,3.00
0964118,1a,4.00,3.50,4.00
0964118,1e,4.00,3.50,4.00
0964118,2a,4.00,4.00,4.00
0964118,2d,4.00,4.00,4.00
0964118,3b,3.33,3.25,3.66
0964118,3c,3.50,3.75,4.00
0964118,3d,3.67,4.00,3.50
0964118,4e,3.00,4.00,4.00
0964432,1a,3.75,3.75,3.75
0964432,1e,3.75,3.67,3.50
0964432,2a,4.00,3.67,4.00
0964432,2d,4.00,3.50,3.50
0964432,3b,3.50,3.33,3.00
0964432,3c,3.67,3.67,3.50
0964432,3d,3.75,3.67,4.00
0964432,4e,3.33,3.00,3.00
0964655,1a,4.00,4.00,3.50
0964655,1e,4.00,4.00,3.33
0964655,2a,4.00,4.00,4.00
0964655,2d,4.00,4.00,4.00
0964655,3b,4.00,4.00,3.75
0964655,3c,4.00,4.00,3.83
0964655,3d,4.00,4.00,3.75
0964655,4e,3.00,4.00,3.00
0967065,1a,4.00,4.00,4.00
0967065,1e,4.00,4.00,4.00
0967065,2a,4.00,4.00,3.80
0967065,2d,4.00,4.00,3.75
0967065,3b,4.00,4.00,3.80
